09:29:20|a
09:29:20|f
09:29:21|f
09:29:21|SPACE
09:29:21|m
09:29:21|a
09:29:22|n
09:29:22|o
09:29:22|,
09:29:22|SPACE
09:29:22|o
09:29:22|SPACE
09:29:23|n
09:29:23|e
09:29:23|g
09:29:23|o
09:29:23|c
09:29:23|i
09:29:23|o
09:29:23|SPACE
09:29:24|t
09:29:24|a
09:29:24|SPACE
09:29:25|b
09:29:25|o
09:29:25|m
09:29:25|SPACE
09:29:25|e
09:29:25|i
09:29:25|n
09:29:26|,
09:29:26|SPACE
09:29:26|m
09:29:26|u
09:29:27|d
09:29:27|e
09:29:27|i
09:29:27|SPACE
09:29:27|e
09:29:27|SPACE
09:29:27|f
09:29:27|i
09:29:28|BS (Backspace)
09:29:28|BS (Backspace)
09:29:28|BS (Backspace)
09:29:29|SPACE
09:29:30|f
09:29:30|i
09:29:30|c
09:29:31|o
09:29:31|u
09:29:31|SPACE
09:29:31|m
09:29:31|e
09:29:31|l
09:29:31|h
09:29:31|o
09:29:32|r
09:29:32|SPACE
09:29:32|m
09:29:32|e
09:29:32|s
09:29:32|m
09:29:32|o
09:29:32|SPACE
09:29:32|a
09:29:33|i
09:29:33|BS (Backspace)
09:29:33|BS (Backspace)
09:29:33|e
09:29:34|i
09:29:34|n
09:29:34|SPACE
09:29:34|.
09:29:35|a
09:29:35|i
09:29:35|SPACE
09:29:35|t
09:29:35|u
09:29:35|SPACE
09:29:36|f
09:29:36|o
09:29:36|r
09:29:36|r
09:29:36|o
09:29:36|u
09:29:36|SPACE
09:29:36|e
09:29:36|i
09:29:37|n
09:29:37|SPACE
09:29:37|c
09:29:37|h
09:29:37|a
09:29:37|t
09:29:37|SPACE
09:29:38|NUL (Null character)
09:29:38|ETX (End of Text)
09:29:39|ETX (End of Text)
09:29:39|ETX (End of Text)
09:29:39|ETX (End of Text)
09:29:39|ETX (End of Text)
09:29:41|NUL (Null character)
09:29:42|NUL (Null character)
09:29:42|TAB (Tab)
09:29:42|NUL (Null character)
09:29:42|TAB (Tab)
09:29:44|NUL (Null character)
